createdAt,title,description,asin,isbn_10,isbn_13
2021-05-04T13:28:44.866Z,Jaguars and Butterflies,,,1949791408,9781949791402
2021-05-04T13:28:44.866Z,"Side by Side: US Empire, Puerto Rico, and the Roots of American Youth Literature and Culture (Children's Literature Association Series)",,,1496832485,9781496832481
2021-05-04T13:28:44.866Z,"Nerds, Goths, Geeks, and Freaks: Outsiders in Chicanx and Latinx Young Adult Literature (Children's Literature Association Series)",,,1496827465,9781496827463
2021-05-04T13:28:44.866Z,Tales from la Vida: A Latinx Comics Anthology (Latinographix),,,814254934,9780814254936
2021-05-04T13:28:44.866Z,Dia de Los Muertos,,,807515779,9780807515778
2021-05-04T13:28:44.866Z,Abuela (English Edition with Spanish Phrases) (Picture Puffin Books),,,140562257,9780140562255
2021-05-04T13:28:44.866Z,Where Are You From?,,,62839934,9780062839930
2021-05-04T13:28:44.866Z,DREAMers Nightmare: THE U.S. WAR ON IMMIGRANT LATINX CHILDREN (Black and White Version),,,1694314529,9781694314529
2021-05-04T13:28:44.866Z,Kids at Work: Latinx Families Selling Food on the Streets of Los Angeles (Latina/o Sociology Book 7),,,1479811513,9781479811519
2021-05-04T13:28:44.866Z,Islandborn,,,735229864,9780735229860
2021-05-04T13:28:44.866Z,Imagine,,,076369052X,9780763690526
2021-05-04T13:28:44.866Z,Dreamers,,,823440559,9780823440559
2021-05-04T13:28:44.866Z,Open Mic: Riffs on Life Between Cultures in Ten Voices,,,763690953,9780763690953
2021-05-04T13:28:44.866Z,Separate Is Never Equal: Sylvia Mendez and Her Family's Fight for Desegregation (Jane Addams Award Book (Awards)),,,1419710540,9781419710544
2021-05-04T13:28:44.866Z,Be Bold! Be Brave!: 11 Latinas who made U.S. History (English and Spanish Edition),,,1733710329,9781733710329
2021-05-04T13:28:44.866Z,Efrén Divided,,,006288168X,9780062881687
2021-05-04T13:28:44.866Z,Pepe and the Parade: A Celebration of Hispanic Heritage,,,1499806663,9781499806663
2021-05-04T13:28:44.866Z,Nacho's Nachos: The Story Behind the World's Favorite Snack,,,1620143690,9781620143698
2021-05-04T13:28:44.866Z,"Just Ask!: Be Different, Be Brave, Be You",,,525514120,9780525514121
2021-05-04T13:28:44.866Z,Lucia the Luchadora,,,1576878279,9781576878279
2021-05-04T13:28:44.866Z,"Sofia Valdez, Future Prez (The Questioneers)",,,141973704X,9781419737046
2021-05-04T13:28:44.866Z,Children of the Land,,,62825593,9780062825599
2021-05-04T13:28:44.866Z,I Am Not Your Perfect Mexican Daughter,,,1524700517,9781524700515
2021-05-04T13:28:44.866Z,Listening with My Heart: A story of kindness and self-compassion,,,998958034,9780998958033
2021-05-04T13:28:44.866Z,A Good Kind of Trouble,,,62836692,9780062836694
2021-05-04T13:28:44.866Z,When the Moon Was Ours: A Novel,,,1250160103,9781250160102
2021-05-04T13:28:44.866Z,What's Mine and Yours,,,,
2021-05-04T13:28:44.866Z,The Tale of the Black Unicorn,,,996904948,9780996904940
2021-05-04T13:28:44.866Z,Crocodile Rescue! (Wild Survival #1) (1),,,1338635050,9781338635058
2021-05-04T13:28:44.866Z,Jaguares y Mariposas (Spanish Edition),,,1949791440,9781949791440
2021-05-04T13:28:44.866Z,Camila the Stage Star (Camila the Star),,,1515883191,9781515883197
2021-05-04T13:28:44.866Z,Latinitas: Celebrating 40 Big Dreamers,,,125023462X,9781250234629
2021-05-04T13:28:44.866Z,Wild Tongues Can't Be Tamed: 15 Voices from the Latinx Diaspora,,,1250763428,9781250763426
2021-05-04T13:28:44.866Z,Saraí y el significado de lo genial (Sarai and the Meaning of Awesome) (1) (Spanish Edition),,,1338330551,9781338330557
2021-05-04T13:28:44.866Z,My Grandma/Mi Abuelita: Bilingual Spanish-English Children's Book,,,60790989,9780060790981
2021-05-04T13:28:44.866Z,12 Ways to Cope With Your Latina Mom & Her Difficulties: a guided journal,,,1704366798,9781704366791
2021-05-04T13:28:44.866Z,Little Night/Nochecita,,,1250073243,9781250073242
2021-05-04T13:28:44.866Z,Translingual Partners in Early Childhood Elementary-Education: Pedagogies on Linguistic and Cognitive Engagement (Critical Studies of Latinxs in the Americas Book 12),,,,
2021-05-04T13:28:44.866Z,The Total Eclipse of Nestor Lopez,,,374313601,9780374313609
2021-05-04T13:28:44.866Z,Brown Baby Lullaby,,,374307520,9780374307523
2021-05-04T13:28:44.866Z,Evelyn Del Rey se muda (Spanish Edition),,,1536213349,9781536213348
2021-05-04T13:28:44.866Z,"I Love You, Baby Burrito",,,1250231094,9781250231093
