title,isbn_10,isbn_13,amazon_url
Jaguars and Butterflies,1949791408,978-1949791402,https://www.amazon.com/Jaguars-Butterflies-Catherine-Russler/dp/1949791408/ref=sr_1_2?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-2
"Side by Side: US Empire, Puerto Rico, and the Roots of American Youth Literature and Culture (Children's Literature Association Series)",1496832485,978-1496832481,https://www.amazon.com/Side-American-Literature-Childrens-Association/dp/1496832485/ref=sr_1_6?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-6
"Nerds, Goths, Geeks, and Freaks: Outsiders in Chicanx and Latinx Young Adult Literature (Children's Literature Association Series)",1496827465,978-1496827463,https://www.amazon.com/Nerds-Goths-Geeks-Freaks-Association/dp/1496827465/ref=sr_1_1?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-1
Tales from la Vida: A Latinx Comics Anthology (Latinographix),0814254934,978-0814254936,https://www.amazon.com/Tales-Vida-Latinx-Anthology-Latinographix/dp/0814254934/ref=sr_1_4?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-4
Dia de Los Muertos,0807515779,978-0807515778,https://www.amazon.com/Dia-Muertos-Roseanne-Greenfield-Thong/dp/0807515779/ref=sr_1_3?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-3
Abuela (English Edition with Spanish Phrases) (Picture Puffin Books),0140562257,978-0140562255,https://www.amazon.com/English-Spanish-Phrases-Picture-Puffins/dp/0140562257/ref=sr_1_9?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-9
Where Are You From?,62839934,978-0062839930,https://www.amazon.com/Where-Are-Yamile-Saied-M%C3%A9ndez/dp/0062839934/ref=sr_1_5?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-5
DREAMers Nightmare: THE U.S. WAR ON IMMIGRANT LATINX CHILDREN (Black and White Version),1694314529,978-1694314529,https://www.amazon.com/DREAMers-Nightmare-IMMIGRANT-CHILDREN-Version/dp/1694314529/ref=sr_1_7?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-7
Kids at Work: Latinx Families Selling Food on the Streets of Los Angeles (Latina/o Sociology Book 7),1479811513,9781479811519,https://www.amazon.com/Kids-Work-Families-Selling-Sociology-ebook/dp/B07JK5CC3R/ref=sr_1_8?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-8
Islandborn,735229864,978-0735229860,https://www.amazon.com/Islandborn-Junot-D%C3%ADaz/dp/0735229864/ref=sr_1_12?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-12
Imagine,076369052X,978-0763690526,https://www.amazon.com/Imagine-Juan-Felipe-Herrera/dp/076369052X/ref=sr_1_10?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-10
Dreamers,0823440559,978-0823440559,https://www.amazon.com/Dreamers-Yuyi-Morales/dp/0823440559/ref=sr_1_11?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-11
Open Mic: Riffs on Life Between Cultures in Ten Voices,0763690953,978-0763690953,https://www.amazon.com/Open-Mic-Between-Cultures-Voices/dp/0763690953/ref=sr_1_14?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-14
Separate Is Never Equal: Sylvia Mendez and Her Family's Fight for Desegregation (Jane Addams Award Book (Awards)),1419710540,978-1419710544,https://www.amazon.com/Separate-Never-Equal-Family%C2%92s-Desegregation/dp/1419710540/ref=sr_1_16?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-16
Be Bold! Be Brave!: 11 Latinas who made U.S. History (English and Spanish Edition),1733710329,978-1733710329,https://www.amazon.com/Brave-Latinas-History-English-Spanish/dp/1733710329/ref=sr_1_13?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140778&s=books&sr=1-13
