type,primary_city,state,zip,acceptable_cities,unacceptable_cities,county,timezone,area_codes,country
UNIQUE,Holtsville,NY,501,,I R S Service Center,Suffolk County,America/New_York,631,US
UNIQUE,Holtsville,NY,544,,Irs Service Center,Suffolk County,America/New_York,631,US
STANDARD,Adjuntas,PR,601,,"Colinas Del Gigante, Jard De Adjuntas, Urb San Joaquin",Adjuntas,America/Puerto_Rico,"787,939",US
STANDARD,Aguada,PR,602,,"Alts De Aguada, Bo Guaniquilla, Comunidad Las Flores, Ext Los Robles, Urb Isabel La Catolica",,,787,US
STANDARD,Aguadilla,PR,603,Ramey,"Bda Caban, Bda Esteves, Bo Borinquen, Bo Ceiba Baja, Ext El Prado, Ext Marbella, Repto Jimenez, Repto Juan Aguiar, Repto Lopez, Repto Tres Palmas, Sect Las Villas, Urb Borinquen, Urb El Prado, Urb Esteves, Urb Garcia, Urb Las Americas, Urb Las Casitas Country Club, Urb Maleza Gdns, Urb Marbella, Urb Ramey, Urb Rubianes, Urb San Carlos, Urb Santa Marta, Urb Victoria, Villa Alegria, Villa Linda, Villa Lydia, Villa Universitaria, Villas De Almeria, Vista Alegre, Vista Verde",Aguadilla,America/Puerto_Rico,787,US
PO BOX,Aguadilla,PR,604,Ramey,,,,,US
PO BOX,Aguadilla,PR,605,,,,,,US
STANDARD,Maricao,PR,606,,Urb San Juan Bautista,Maricao,America/Puerto_Rico,"787,939",US
STANDARD,Anasco,PR,610,,"Brisas De Anasco, Est De Valle Verde, Jard De Anasco, Paseo Del Valle, Repto Daguey, Urb San Antonio",,,787,US
PO BOX,Angeles,PR,611,,,,,,US
